id,id_cliente,id_vendedor,dte,total_dte,estado,descripcion
17,175,27,10037,961320,Entregado,"1x Mouse Ergonómico Inalámbrico, 1x Auriculares con Micrófono USB, 2x Escáner de Documentos Portátil"
18,234,2,10040,616005,Entregado,1x Auriculares con Micrófono USB
19,43,6,10042,326259,Entregado,"3x Hub USB-C 8 en 1, 2x Teclado Mecánico RGB, 1x Disco Duro Externo 2TB"
20,51,33,10044,57576,Entregado,"3x Mouse Ergonómico Inalámbrico, 3x Licencia Software Antivirus 1 Año, 1x Impresora Láser Multifuncional"
21,165,6,10047,568128,Entregado,"3x Mouse Ergonómico Inalámbrico, 3x Licencia Software Antivirus 1 Año"
22,87,2,10050,423727,Entregado,1x Monitor LED 24' Full HD
23,198,9,10053,427133,Entregado,"3x Escáner de Documentos Portátil, 3x Memoria RAM 16GB DDR4"
24,128,33,10054,234469,Entregado,"1x Licencia Software Antivirus 1 Año, 3x Impresora Láser Multifuncional, 2x Silla de Escritorio Ergonómica"
25,117,3,10056,711270,Entregado,2x Mouse Ergonómico Inalámbrico
26,124,15,10058,872266,Entregado,"1x Disco Duro Externo 2TB, 2x Escáner de Documentos Portátil"
27,82,12,10061,308403,Entregado,"1x Mouse Ergonómico Inalámbrico, 2x Disco Duro Externo 2TB, 1x Auriculares con Micrófono USB, 2x Escáner de Documentos Portátil"
28,69,15,10062,940370,Entregado,"1x Mouse Ergonómico Inalámbrico, 2x Monitor LED 24' Full HD"
29,222,14,10064,13098,Entregado,"3x Mouse Ergonómico Inalámbrico, 3x Disco Duro Externo 2TB"
30,49,6,10066,138807,Entregado,"2x Auriculares con Micrófono USB, 1x Silla de Escritorio Ergonómica, 1x Licencia Software Antivirus 1 Año, 2x Impresora Láser Multifuncional"
31,118,8,10069,108719,Entregado,"1x Escáner de Documentos Portátil, 1x Disco Duro Externo 2TB"
32,127,18,10071,13358,Sin entregar,"2x Auriculares con Micrófono USB, 1x Laptop Corporate 14', 2x Monitor LED 24' Full HD"
33,94,13,10074,849438,Entregado,"3x Laptop Corporate 14', 3x Memoria RAM 16GB DDR4, 1x Hub USB-C 8 en 1"
34,142,10,10076,808274,Entregado,3x Memoria RAM 16GB DDR4
35,196,33,10078,586763,Entregado,"1x Escáner de Documentos Portátil, 1x Licencia Software Antivirus 1 Año, 1x Hub USB-C 8 en 1"
36,96,11,10080,634311,Entregado,"3x Mouse Ergonómico Inalámbrico, 2x Teclado Mecánico RGB, 3x Escáner de Documentos Portátil"
37,12,2,10081,429925,Entregado,"2x Hub USB-C 8 en 1, 3x Disco Duro Externo 2TB"
38,39,27,10083,80649,Entregado,"2x Disco Duro Externo 2TB, 1x Escáner de Documentos Portátil"
39,158,10,10085,470431,Entregado,"2x Auriculares con Micrófono USB, 3x Hub USB-C 8 en 1, 3x Licencia Software Antivirus 1 Año"
40,122,1,10087,182269,Sin entregar,"2x Disco Duro Externo 2TB, 3x Licencia Software Antivirus 1 Año, 2x Monitor LED 24' Full HD"
41,224,1,10090,736448,Entregado,"3x Impresora Láser Multifuncional, 1x Licencia Software Antivirus 1 Año, 3x Escáner de Documentos Portátil, 2x Teclado Mecánico RGB"
42,135,13,10091,256242,Entregado,"1x Licencia Software Antivirus 1 Año, 3x Teclado Mecánico RGB"
43,29,7,10094,515173,Entregado,2x Silla de Escritorio Ergonómica
44,39,14,10096,854664,Entregado,"3x Memoria RAM 16GB DDR4, 2x Auriculares con Micrófono USB"
45,187,2,10099,129670,Entregado,"3x Auriculares con Micrófono USB, 2x Teclado Mecánico RGB"
46,123,27,10102,74199,Entregado,"2x Disco Duro Externo 2TB, 3x Mouse Ergonómico Inalámbrico, 2x Silla de Escritorio Ergonómica, 3x Auriculares con Micrófono USB"
47,175,9,10105,455418,Entregado,"2x Teclado Mecánico RGB, 1x Hub USB-C 8 en 1, 2x Impresora Láser Multifuncional, 2x Auriculares con Micrófono USB"
48,54,18,10108,344223,Entregado,"3x Silla de Escritorio Ergonómica, 2x Disco Duro Externo 2TB, 2x Auriculares con Micrófono USB"
49,147,33,10109,282737,Sin entregar,"1x Memoria RAM 16GB DDR4, 2x Disco Duro Externo 2TB, 3x Mouse Ergonómico Inalámbrico, 1x Impresora Láser Multifuncional"
50,237,15,10111,733357,Entregado,"1x Hub USB-C 8 en 1, 3x Silla de Escritorio Ergonómica, 2x Teclado Mecánico RGB"
51,179,9,10114,52136,Entregado,"3x Monitor LED 24' Full HD, 3x Escáner de Documentos Portátil"
52,63,2,10115,693405,Entregado,"1x Licencia Software Antivirus 1 Año, 1x Teclado Mecánico RGB"
53,85,18,10117,912257,Entregado,1x Licencia Software Antivirus 1 Año
54,247,33,10118,141316,Entregado,"2x Memoria RAM 16GB DDR4, 2x Licencia Software Antivirus 1 Año"
55,52,10,10121,293635,Entregado,"1x Impresora Láser Multifuncional, 3x Licencia Software Antivirus 1 Año, 3x Laptop Corporate 14'"
56,137,2,10122,217504,Entregado,"1x Memoria RAM 16GB DDR4, 2x Mouse Ergonómico Inalámbrico"
57,48,10,10124,275478,Entregado,2x Laptop Corporate 14'
58,155,4,10127,185961,Entregado,"3x Impresora Láser Multifuncional, 2x Silla de Escritorio Ergonómica, 1x Auriculares con Micrófono USB"
59,120,9,10130,538539,Entregado,"1x Monitor LED 24' Full HD, 3x Disco Duro Externo 2TB"
60,166,9,10132,699669,Entregado,"2x Laptop Corporate 14', 3x Disco Duro Externo 2TB"
61,194,7,10135,981383,Sin entregar,"2x Escáner de Documentos Portátil, 2x Licencia Software Antivirus 1 Año"
62,84,3,10138,536635,Entregado,"2x Licencia Software Antivirus 1 Año, 2x Monitor LED 24' Full HD, 1x Mouse Ergonómico Inalámbrico, 1x Escáner de Documentos Portátil"
63,99,8,10140,724529,Entregado,"2x Impresora Láser Multifuncional, 3x Disco Duro Externo 2TB, 2x Hub USB-C 8 en 1, 3x Laptop Corporate 14'"
64,16,4,10141,458828,Entregado,"3x Impresora Láser Multifuncional, 2x Mouse Ergonómico Inalámbrico, 3x Memoria RAM 16GB DDR4, 1x Auriculares con Micrófono USB"
65,235,10,10144,197398,Entregado,"1x Escáner de Documentos Portátil, 2x Teclado Mecánico RGB, 1x Licencia Software Antivirus 1 Año"
66,192,12,10146,176625,Entregado,"3x Hub USB-C 8 en 1, 1x Auriculares con Micrófono USB, 1x Silla de Escritorio Ergonómica, 3x Licencia Software Antivirus 1 Año"
67,224,3,10149,28907,Entregado,"1x Auriculares con Micrófono USB, 3x Disco Duro Externo 2TB, 3x Monitor LED 24' Full HD, 1x Escáner de Documentos Portátil"
68,138,5,10152,179734,Sin entregar,"2x Disco Duro Externo 2TB, 1x Auriculares con Micrófono USB"
69,53,18,10155,982819,Entregado,2x Auriculares con Micrófono USB
70,117,5,10156,324576,Entregado,"2x Silla de Escritorio Ergonómica, 3x Escáner de Documentos Portátil, 2x Laptop Corporate 14', 3x Auriculares con Micrófono USB"
71,102,9,10157,561997,Entregado,1x Hub USB-C 8 en 1
72,19,2,10160,454296,Sin entregar,"1x Disco Duro Externo 2TB, 2x Monitor LED 24' Full HD, 1x Auriculares con Micrófono USB, 2x Laptop Corporate 14'"
73,47,5,10162,596144,Entregado,"2x Disco Duro Externo 2TB, 1x Memoria RAM 16GB DDR4, 3x Silla de Escritorio Ergonómica, 3x Licencia Software Antivirus 1 Año"
74,35,12,10165,862908,Entregado,3x Mouse Ergonómico Inalámbrico
75,136,5,10167,87393,Entregado,"2x Laptop Corporate 14', 2x Hub USB-C 8 en 1"
76,185,33,10170,259004,Entregado,"2x Auriculares con Micrófono USB, 2x Memoria RAM 16GB DDR4, 1x Teclado Mecánico RGB, 2x Escáner de Documentos Portátil"
77,240,4,10171,169008,Entregado,2x Licencia Software Antivirus 1 Año
78,197,1,10174,150416,Sin entregar,"1x Teclado Mecánico RGB, 3x Monitor LED 24' Full HD"
79,115,2,10175,464481,Entregado,"2x Hub USB-C 8 en 1, 2x Laptop Corporate 14'"
80,139,7,10176,311402,Sin entregar,3x Mouse Ergonómico Inalámbrico
81,60,11,10178,102951,Entregado,"3x Teclado Mecánico RGB, 3x Impresora Láser Multifuncional, 1x Mouse Ergonómico Inalámbrico"
82,77,9,10180,152410,Entregado,3x Auriculares con Micrófono USB
83,234,6,10183,273221,Sin entregar,"3x Auriculares con Micrófono USB, 3x Silla de Escritorio Ergonómica, 2x Laptop Corporate 14', 3x Disco Duro Externo 2TB"
84,179,14,10185,406063,Entregado,"3x Mouse Ergonómico Inalámbrico, 2x Impresora Láser Multifuncional, 1x Memoria RAM 16GB DDR4, 1x Hub USB-C 8 en 1"
85,220,5,10187,369720,Sin entregar,"3x Laptop Corporate 14', 3x Auriculares con Micrófono USB, 1x Memoria RAM 16GB DDR4, 2x Escáner de Documentos Portátil"
86,66,7,10188,492097,Entregado,"2x Licencia Software Antivirus 1 Año, 1x Monitor LED 24' Full HD, 3x Silla de Escritorio Ergonómica"
87,213,7,10191,959803,Entregado,2x Impresora Láser Multifuncional
88,155,2,10194,467091,Entregado,3x Teclado Mecánico RGB
89,172,33,10197,27631,Entregado,"2x Silla de Escritorio Ergonómica, 2x Teclado Mecánico RGB"
90,55,7,10198,444893,Entregado,2x Hub USB-C 8 en 1
91,179,7,10199,736261,Entregado,"2x Teclado Mecánico RGB, 2x Auriculares con Micrófono USB, 3x Disco Duro Externo 2TB, 3x Impresora Láser Multifuncional"
92,79,9,10201,938935,Entregado,"1x Auriculares con Micrófono USB, 3x Silla de Escritorio Ergonómica, 2x Licencia Software Antivirus 1 Año"
93,235,7,10203,926614,Entregado,"3x Disco Duro Externo 2TB, 1x Memoria RAM 16GB DDR4, 3x Laptop Corporate 14'"
94,5,9,10204,669033,Entregado,"1x Impresora Láser Multifuncional, 2x Mouse Ergonómico Inalámbrico, 3x Teclado Mecánico RGB, 1x Disco Duro Externo 2TB"
95,141,11,10206,821341,Entregado,"2x Silla de Escritorio Ergonómica, 1x Licencia Software Antivirus 1 Año, 3x Hub USB-C 8 en 1"
96,44,5,10208,85703,Entregado,"1x Mouse Ergonómico Inalámbrico, 1x Auriculares con Micrófono USB, 3x Laptop Corporate 14', 1x Licencia Software Antivirus 1 Año"
97,106,5,10209,530398,Sin entregar,"1x Monitor LED 24' Full HD, 1x Mouse Ergonómico Inalámbrico"
98,117,12,10212,731876,Entregado,3x Escáner de Documentos Portátil
99,240,18,10215,423165,Entregado,"2x Laptop Corporate 14', 1x Hub USB-C 8 en 1, 1x Auriculares con Micrófono USB, 3x Escáner de Documentos Portátil"
100,71,33,10218,339855,Entregado,"1x Laptop Corporate 14', 1x Auriculares con Micrófono USB, 1x Memoria RAM 16GB DDR4"
101,39,8,10221,527109,Entregado,"2x Escáner de Documentos Portátil, 2x Auriculares con Micrófono USB"
102,204,13,10223,632713,Entregado,2x Disco Duro Externo 2TB
103,145,8,10225,679676,Entregado,"1x Impresora Láser Multifuncional, 3x Licencia Software Antivirus 1 Año"
104,195,2,10228,30299,Entregado,2x Memoria RAM 16GB DDR4
105,142,18,10230,693161,Entregado,1x Licencia Software Antivirus 1 Año
106,44,3,10233,417546,Entregado,"3x Memoria RAM 16GB DDR4, 1x Licencia Software Antivirus 1 Año, 1x Disco Duro Externo 2TB, 1x Monitor LED 24' Full HD"
107,228,18,10236,237181,Entregado,"3x Laptop Corporate 14', 3x Monitor LED 24' Full HD, 3x Impresora Láser Multifuncional"
108,46,11,10237,617799,Entregado,3x Teclado Mecánico RGB
109,193,13,10238,660466,Entregado,1x Impresora Láser Multifuncional
110,62,13,10241,325239,Entregado,"3x Memoria RAM 16GB DDR4, 3x Mouse Ergonómico Inalámbrico, 2x Monitor LED 24' Full HD"
111,26,14,10242,853661,Entregado,"3x Monitor LED 24' Full HD, 3x Disco Duro Externo 2TB"
112,102,11,10245,141814,Entregado,2x Licencia Software Antivirus 1 Año
113,126,8,10247,222769,Entregado,"1x Auriculares con Micrófono USB, 3x Memoria RAM 16GB DDR4, 3x Licencia Software Antivirus 1 Año"
114,98,3,10250,573313,Entregado,"2x Teclado Mecánico RGB, 1x Monitor LED 24' Full HD, 2x Licencia Software Antivirus 1 Año"
115,201,5,10253,995217,Entregado,"1x Disco Duro Externo 2TB, 2x Hub USB-C 8 en 1, 2x Monitor LED 24' Full HD, 2x Escáner de Documentos Portátil"
116,27,5,10255,399198,Sin entregar,2x Mouse Ergonómico Inalámbrico
117,143,33,10257,546895,Entregado,"3x Monitor LED 24' Full HD, 1x Laptop Corporate 14', 3x Hub USB-C 8 en 1, 3x Disco Duro Externo 2TB"
118,222,13,10259,404112,Entregado,2x Impresora Láser Multifuncional
119,200,3,10261,218542,Entregado,"1x Escáner de Documentos Portátil, 3x Auriculares con Micrófono USB"
120,44,5,10263,623856,Entregado,"1x Impresora Láser Multifuncional, 1x Hub USB-C 8 en 1, 1x Silla de Escritorio Ergonómica"
121,71,14,10265,968538,Entregado,"2x Silla de Escritorio Ergonómica, 1x Monitor LED 24' Full HD, 3x Disco Duro Externo 2TB"
122,127,7,10268,918739,Sin entregar,"2x Monitor LED 24' Full HD, 2x Mouse Ergonómico Inalámbrico, 3x Impresora Láser Multifuncional, 2x Laptop Corporate 14'"
123,113,11,10270,719702,Entregado,"2x Licencia Software Antivirus 1 Año, 3x Escáner de Documentos Portátil, 3x Mouse Ergonómico Inalámbrico, 1x Impresora Láser Multifuncional"
124,81,6,10272,723998,Entregado,"2x Disco Duro Externo 2TB, 2x Impresora Láser Multifuncional, 2x Silla de Escritorio Ergonómica, 2x Teclado Mecánico RGB"
125,30,7,10274,122561,Entregado,"1x Licencia Software Antivirus 1 Año, 3x Auriculares con Micrófono USB"
126,242,7,10276,47747,Entregado,"1x Impresora Láser Multifuncional, 3x Monitor LED 24' Full HD, 2x Memoria RAM 16GB DDR4, 1x Silla de Escritorio Ergonómica"
127,169,5,10278,918317,Entregado,"3x Memoria RAM 16GB DDR4, 2x Monitor LED 24' Full HD, 3x Silla de Escritorio Ergonómica, 3x Escáner de Documentos Portátil"
128,108,33,10281,495179,Entregado,3x Disco Duro Externo 2TB
129,153,3,10284,167703,Sin entregar,3x Teclado Mecánico RGB
130,91,6,10287,545087,Sin entregar,3x Escáner de Documentos Portátil
131,166,13,10290,297332,Entregado,"1x Memoria RAM 16GB DDR4, 2x Monitor LED 24' Full HD, 1x Laptop Corporate 14'"
132,192,27,10293,234267,Entregado,"2x Silla de Escritorio Ergonómica, 2x Disco Duro Externo 2TB"
133,151,27,10296,125568,Entregado,"2x Disco Duro Externo 2TB, 1x Laptop Corporate 14'"
134,107,3,10298,960056,Sin entregar,1x Hub USB-C 8 en 1
135,80,11,10300,789980,Entregado,"2x Teclado Mecánico RGB, 1x Auriculares con Micrófono USB, 2x Silla de Escritorio Ergonómica, 3x Disco Duro Externo 2TB"
136,116,11,10303,101299,Entregado,1x Impresora Láser Multifuncional
137,30,1,10306,197118,Entregado,"3x Licencia Software Antivirus 1 Año, 1x Monitor LED 24' Full HD, 3x Mouse Ergonómico Inalámbrico"
138,142,6,10307,186014,Sin entregar,"1x Auriculares con Micrófono USB, 2x Memoria RAM 16GB DDR4, 3x Silla de Escritorio Ergonómica"
139,48,14,10308,127891,Entregado,"3x Laptop Corporate 14', 2x Escáner de Documentos Portátil, 2x Teclado Mecánico RGB, 1x Silla de Escritorio Ergonómica"
140,55,7,10311,678652,Entregado,"1x Hub USB-C 8 en 1, 3x Monitor LED 24' Full HD, 1x Escáner de Documentos Portátil"
141,84,7,10313,569752,Entregado,"3x Monitor LED 24' Full HD, 2x Impresora Láser Multifuncional, 3x Silla de Escritorio Ergonómica, 2x Auriculares con Micrófono USB"
142,101,4,10316,819036,Entregado,"1x Disco Duro Externo 2TB, 3x Silla de Escritorio Ergonómica, 3x Escáner de Documentos Portátil"
143,236,3,10318,376175,Sin entregar,"1x Disco Duro Externo 2TB, 2x Monitor LED 24' Full HD"
144,47,12,10319,265322,Entregado,"2x Auriculares con Micrófono USB, 3x Memoria RAM 16GB DDR4"
145,148,13,10320,322724,Entregado,"3x Mouse Ergonómico Inalámbrico, 1x Silla de Escritorio Ergonómica, 2x Auriculares con Micrófono USB, 2x Hub USB-C 8 en 1"
146,48,11,10321,930949,Entregado,"2x Escáner de Documentos Portátil, 1x Laptop Corporate 14', 1x Disco Duro Externo 2TB, 2x Licencia Software Antivirus 1 Año"
147,130,18,10324,132265,Sin entregar,"2x Licencia Software Antivirus 1 Año, 1x Silla de Escritorio Ergonómica, 1x Memoria RAM 16GB DDR4, 3x Hub USB-C 8 en 1"
148,204,8,10325,781491,Sin entregar,"3x Laptop Corporate 14', 2x Impresora Láser Multifuncional, 1x Teclado Mecánico RGB"
149,145,18,10327,570727,Entregado,1x Escáner de Documentos Portátil
150,199,33,10329,467219,Entregado,"3x Auriculares con Micrófono USB, 1x Laptop Corporate 14', 2x Silla de Escritorio Ergonómica"
151,189,8,10330,486718,Entregado,"2x Laptop Corporate 14', 1x Silla de Escritorio Ergonómica, 2x Impresora Láser Multifuncional"
152,199,8,10331,36828,Entregado,"3x Hub USB-C 8 en 1, 2x Escáner de Documentos Portátil"
153,157,14,10334,785597,Entregado,"1x Escáner de Documentos Portátil, 1x Mouse Ergonómico Inalámbrico"
154,146,12,10335,426153,Entregado,"2x Escáner de Documentos Portátil, 3x Auriculares con Micrófono USB, 2x Mouse Ergonómico Inalámbrico"
155,147,9,10337,753191,Entregado,2x Mouse Ergonómico Inalámbrico
156,71,5,10338,217480,Entregado,"3x Teclado Mecánico RGB, 2x Mouse Ergonómico Inalámbrico"
157,195,13,10339,31007,Entregado,"2x Mouse Ergonómico Inalámbrico, 2x Escáner de Documentos Portátil, 1x Impresora Láser Multifuncional, 3x Memoria RAM 16GB DDR4"
158,104,27,10340,630087,Entregado,"2x Hub USB-C 8 en 1, 2x Disco Duro Externo 2TB, 3x Silla de Escritorio Ergonómica"
159,223,3,10341,649372,Entregado,"3x Licencia Software Antivirus 1 Año, 2x Hub USB-C 8 en 1, 1x Disco Duro Externo 2TB, 2x Monitor LED 24' Full HD"
160,127,9,10342,987978,Entregado,"3x Impresora Láser Multifuncional, 1x Disco Duro Externo 2TB, 3x Auriculares con Micrófono USB"
161,202,11,10344,903726,Sin entregar,1x Laptop Corporate 14'
162,201,15,10347,862417,Entregado,1x Monitor LED 24' Full HD
163,117,1,10349,62878,Entregado,"2x Teclado Mecánico RGB, 1x Mouse Ergonómico Inalámbrico, 3x Impresora Láser Multifuncional, 2x Licencia Software Antivirus 1 Año"
164,22,12,10351,687801,Entregado,"3x Laptop Corporate 14', 2x Memoria RAM 16GB DDR4"
165,180,8,10354,654091,Entregado,"1x Licencia Software Antivirus 1 Año, 2x Monitor LED 24' Full HD, 1x Hub USB-C 8 en 1, 1x Laptop Corporate 14'"
166,58,27,10357,751861,Entregado,"2x Laptop Corporate 14', 3x Hub USB-C 8 en 1, 1x Disco Duro Externo 2TB, 2x Monitor LED 24' Full HD"
167,59,13,10358,911685,Entregado,1x Hub USB-C 8 en 1
168,81,12,10359,888100,Entregado,"3x Mouse Ergonómico Inalámbrico, 3x Memoria RAM 16GB DDR4, 1x Hub USB-C 8 en 1"
169,136,1,10360,153765,Entregado,"3x Silla de Escritorio Ergonómica, 1x Disco Duro Externo 2TB"
170,192,5,10363,72095,Entregado,"1x Escáner de Documentos Portátil, 1x Licencia Software Antivirus 1 Año, 1x Silla de Escritorio Ergonómica, 1x Teclado Mecánico RGB"
171,187,13,10366,332326,Sin entregar,"1x Memoria RAM 16GB DDR4, 2x Disco Duro Externo 2TB, 3x Mouse Ergonómico Inalámbrico"
172,64,33,10367,298651,Sin entregar,"1x Hub USB-C 8 en 1, 3x Laptop Corporate 14', 3x Impresora Láser Multifuncional"
173,49,13,10370,274925,Sin entregar,"2x Licencia Software Antivirus 1 Año, 2x Laptop Corporate 14', 1x Teclado Mecánico RGB"
174,128,3,10371,172162,Entregado,2x Disco Duro Externo 2TB
175,100,14,10372,100021,Entregado,"2x Auriculares con Micrófono USB, 1x Licencia Software Antivirus 1 Año, 1x Mouse Ergonómico Inalámbrico"
176,18,1,10375,736957,Entregado,"2x Teclado Mecánico RGB, 3x Laptop Corporate 14', 2x Licencia Software Antivirus 1 Año"
177,183,27,10378,178949,Entregado,"3x Memoria RAM 16GB DDR4, 3x Hub USB-C 8 en 1, 1x Monitor LED 24' Full HD, 2x Auriculares con Micrófono USB"
178,80,3,10379,612004,Entregado,"2x Mouse Ergonómico Inalámbrico, 2x Auriculares con Micrófono USB"
179,163,3,10382,994032,Entregado,"1x Hub USB-C 8 en 1, 1x Memoria RAM 16GB DDR4, 1x Teclado Mecánico RGB"
180,30,15,10384,298853,Entregado,3x Impresora Láser Multifuncional
181,169,6,10387,247561,Entregado,3x Laptop Corporate 14'
182,180,1,10388,356251,Entregado,"3x Silla de Escritorio Ergonómica, 3x Disco Duro Externo 2TB"
183,67,6,10391,513709,Entregado,"1x Mouse Ergonómico Inalámbrico, 2x Impresora Láser Multifuncional, 2x Monitor LED 24' Full HD"
184,135,3,10393,898846,Entregado,"2x Hub USB-C 8 en 1, 2x Escáner de Documentos Portátil, 3x Monitor LED 24' Full HD"
185,15,18,10395,70586,Entregado,"2x Disco Duro Externo 2TB, 1x Mouse Ergonómico Inalámbrico"
186,173,4,10398,911247,Entregado,"1x Hub USB-C 8 en 1, 1x Auriculares con Micrófono USB"
187,63,2,10399,802760,Sin entregar,"1x Disco Duro Externo 2TB, 3x Memoria RAM 16GB DDR4, 3x Mouse Ergonómico Inalámbrico, 3x Escáner de Documentos Portátil"
188,108,8,10402,311288,Entregado,"2x Teclado Mecánico RGB, 1x Memoria RAM 16GB DDR4, 3x Disco Duro Externo 2TB"
189,31,27,10404,347996,Sin entregar,1x Mouse Ergonómico Inalámbrico
190,12,13,10407,779094,Entregado,2x Silla de Escritorio Ergonómica
191,84,3,10409,100723,Entregado,"3x Laptop Corporate 14', 2x Disco Duro Externo 2TB, 3x Teclado Mecánico RGB, 3x Impresora Láser Multifuncional"
192,119,12,10410,709897,Sin entregar,"1x Teclado Mecánico RGB, 2x Auriculares con Micrófono USB, 1x Hub USB-C 8 en 1, 1x Mouse Ergonómico Inalámbrico"
193,89,1,10413,849732,Sin entregar,"3x Laptop Corporate 14', 3x Licencia Software Antivirus 1 Año, 2x Memoria RAM 16GB DDR4"
194,53,27,10414,143019,Entregado,"1x Memoria RAM 16GB DDR4, 1x Silla de Escritorio Ergonómica"
195,72,3,10417,500422,Entregado,3x Teclado Mecánico RGB
196,180,12,10419,602256,Entregado,"3x Hub USB-C 8 en 1, 1x Monitor LED 24' Full HD, 3x Escáner de Documentos Portátil, 2x Licencia Software Antivirus 1 Año"
197,152,2,10420,443410,Sin entregar,"2x Licencia Software Antivirus 1 Año, 2x Mouse Ergonómico Inalámbrico, 2x Teclado Mecánico RGB, 3x Impresora Láser Multifuncional"
198,84,11,10423,121001,Sin entregar,"1x Impresora Láser Multifuncional, 3x Teclado Mecánico RGB, 1x Monitor LED 24' Full HD, 1x Licencia Software Antivirus 1 Año"
199,43,15,10424,441149,Entregado,"2x Disco Duro Externo 2TB, 1x Memoria RAM 16GB DDR4, 2x Monitor LED 24' Full HD, 2x Auriculares con Micrófono USB"
200,68,4,10426,377950,Entregado,3x Mouse Ergonómico Inalámbrico
201,212,2,10428,843491,Sin entregar,"1x Disco Duro Externo 2TB, 3x Mouse Ergonómico Inalámbrico"
202,248,12,10429,383614,Entregado,"1x Auriculares con Micrófono USB, 1x Laptop Corporate 14', 2x Impresora Láser Multifuncional, 2x Escáner de Documentos Portátil"
203,192,33,10432,209453,Entregado,"1x Monitor LED 24' Full HD, 1x Silla de Escritorio Ergonómica"
204,4,2,10433,828056,Entregado,"2x Mouse Ergonómico Inalámbrico, 2x Teclado Mecánico RGB"
205,162,3,10436,127742,Sin entregar,"1x Monitor LED 24' Full HD, 3x Laptop Corporate 14', 2x Hub USB-C 8 en 1"
206,24,11,10437,928721,Entregado,2x Laptop Corporate 14'
207,44,14,10438,922092,Entregado,"1x Silla de Escritorio Ergonómica, 2x Laptop Corporate 14', 1x Memoria RAM 16GB DDR4, 1x Escáner de Documentos Portátil"
208,72,15,10440,992339,Entregado,"3x Laptop Corporate 14', 3x Escáner de Documentos Portátil"
209,166,10,10441,592475,Entregado,"1x Memoria RAM 16GB DDR4, 2x Auriculares con Micrófono USB, 2x Silla de Escritorio Ergonómica, 1x Laptop Corporate 14'"
210,52,27,10443,110380,Sin entregar,"1x Licencia Software Antivirus 1 Año, 2x Auriculares con Micrófono USB"
211,92,18,10446,277886,Entregado,"2x Disco Duro Externo 2TB, 2x Escáner de Documentos Portátil, 1x Auriculares con Micrófono USB, 1x Hub USB-C 8 en 1"
212,153,8,10448,414113,Entregado,1x Impresora Láser Multifuncional
213,136,12,10450,442818,Entregado,"1x Mouse Ergonómico Inalámbrico, 3x Monitor LED 24' Full HD"
214,69,33,10451,208136,Sin entregar,3x Teclado Mecánico RGB
215,91,6,10453,770557,Entregado,"2x Teclado Mecánico RGB, 3x Escáner de Documentos Portátil"
216,92,1,10456,251111,Sin entregar,"3x Escáner de Documentos Portátil, 1x Hub USB-C 8 en 1, 2x Mouse Ergonómico Inalámbrico"
217,80,6,10459,748642,Entregado,"3x Laptop Corporate 14', 1x Monitor LED 24' Full HD, 1x Hub USB-C 8 en 1, 3x Teclado Mecánico RGB"
218,1,11,10461,141785,Entregado,"3x Mouse Ergonómico Inalámbrico, 1x Disco Duro Externo 2TB"
219,16,1,10463,238010,Sin entregar,"1x Escáner de Documentos Portátil, 3x Mouse Ergonómico Inalámbrico"
